,Pref,Votes,Percentage,nPr,Unique Votes,Percentage Used,Euc Mean,Euc Median,Euc Min,Euc Max
0,1.0,1743,5.8,9,9,100.0,0.0,0.0,0.0,0.0
1,2.0,3243,10.8,72,71,98.61111,5.216638597467074,4.6097722286464435,0.0,12.298373876248844
2,3.0,8753,29.2,504,406,80.55556,10.630515269019387,10.34767404042684,1.004987562112089,23.928077225861852
3,4.0,5157,17.2,3024,1115,36.87169,15.693829073335502,15.591789424891157,1.7120943432986366,32.660201824148345
4,5.0,3389,11.3,15120,1785,11.80556,20.6396363291999,20.91219456642069,4.77966667333423,39.02416285482727
5,6.0,1866,6.2,60480,1505,2.48843,24.650567851903467,24.855249952247753,7.413707011031118,44.32031359568238
6,7.0,1027,3.4,181440,971,0.53516,29.80776707625815,29.940740189497536,9.674253811038168,47.138753617376835
7,8.0,1010,3.4,362880,978,0.26951,34.04161689848302,34.1341467936512,15.689523652359773,54.96703210359091
8,9.0,3800,12.7,362880,3495,0.96313,38.47945525072941,38.57238924722446,18.656349168542626,58.002974236018034
