,Pref,Votes,Percentage,nPr,Unique Votes,Percentage Used,Euc Mean,Euc Median,Euc Min,Euc Max
0,1.0,1688,3.8,12,12,100.0,0.0,0.0,0.0,0.0
1,2.0,2796,6.4,132,125,94.69697,4.319963687980525,3.605551275463989,0.0,11.629703349613008
2,3.0,12589,28.6,1320,853,64.62121,8.832058397654698,8.143614881141987,0.0,23.259406699226016
3,4.0,7861,17.9,11880,2324,19.56229,13.027251429157227,12.347009308137173,1.004987562112089,29.623367729904942
4,5.0,6163,14.0,95040,3752,3.94781,16.82330512967519,16.54506290647121,1.004987562112089,35.65574850456031
5,6.0,3713,8.4,665280,3226,0.48491,19.82825277081561,19.39481564363418,3.4655446902326914,41.60501664634136
6,7.0,2184,5.0,3991680,2090,0.05236,23.21216064025075,23.286168824663115,5.3061501956334025,46.286837348726856
7,8.0,1327,3.0,19958400,1304,0.00653,27.446635829979297,27.574569030373766,8.94266820734436,48.845746720531636
8,9.0,686,1.6,79833600,685,0.00086,31.26101757765018,31.15346953026699,10.62706373937931,51.622817781301826
9,10.0,676,1.5,239500800,676,0.00028,34.008190597208596,33.47836499265307,12.038832950640032,57.12133063175056
10,11.0,597,1.4,479001600,597,0.00012,36.36975674555962,36.10168455994354,17.01235676462757,57.37663623663646
11,12.0,3662,8.3,479001600,3655,0.00076,40.48792918324026,40.429240600770676,17.338680507327812,65.16655022561643
